"","clust","year","collection_date","month","species","trap_nights","total_mosquitoes","mos_per_trap_night"
"1",1,2010,"2010-03-28",3,"Cx. quinquefasciatus",3,0,0
"2",1,2010,"2010-04-04",4,"Cx. quinquefasciatus",3,0,0
"3",1,2010,"2010-04-11",4,"Cx. quinquefasciatus",3,1,0.333333333333333
"4",1,2010,"2010-04-18",4,"Cx. quinquefasciatus",3,0,0
"5",1,2010,"2010-04-25",4,"Cx. quinquefasciatus",3,0,0
"6",1,2010,"2010-05-02",5,"Cx. quinquefasciatus",3,3,1
"7",1,2010,"2010-05-09",5,"Cx. quinquefasciatus",3,0,0
"8",1,2010,"2010-05-16",5,"Cx. quinquefasciatus",3,3,1
"9",1,2010,"2010-05-23",5,"Cx. quinquefasciatus",3,0,0
"10",1,2010,"2010-05-30",5,"Cx. quinquefasciatus",3,2,0.666666666666667
"11",1,2010,"2010-06-06",6,"Cx. quinquefasciatus",3,8,2.66666666666667
"12",1,2010,"2010-06-13",6,"Cx. quinquefasciatus",3,0,0
"13",1,2010,"2010-06-20",6,"Cx. quinquefasciatus",3,6,2
"14",1,2010,"2010-06-27",6,"Cx. quinquefasciatus",3,38,12.6666666666667
"15",1,2010,"2010-07-04",7,"Cx. quinquefasciatus",6,136,22.6666666666667
"16",1,2010,"2010-07-11",7,"Cx. quinquefasciatus",3,87,29
"17",1,2010,"2010-07-18",7,"Cx. quinquefasciatus",3,16,5.33333333333333
"18",1,2010,"2010-07-25",7,"Cx. quinquefasciatus",3,251,83.6666666666667
"19",1,2010,"2010-08-01",8,"Cx. quinquefasciatus",3,125,41.6666666666667
"20",1,2010,"2010-08-08",8,"Cx. quinquefasciatus",3,191,63.6666666666667
"21",1,2010,"2010-08-15",8,"Cx. quinquefasciatus",3,103,34.3333333333333
"22",1,2010,"2010-08-22",8,"Cx. quinquefasciatus",3,234,78
"23",1,2010,"2010-08-29",8,"Cx. quinquefasciatus",3,48,16
"24",1,2010,"2010-09-05",9,"Cx. quinquefasciatus",3,120,40
"25",1,2010,"2010-09-12",9,"Cx. quinquefasciatus",3,244,81.3333333333333
