"","clust","year","month","lat","lon","species","mos_per_trap_night","pdsi","temp_max_c","woy_cms_mean","pdsi_standardized","temp_max_c_standardized","woy_cms_mean_standardized","pdsi_standardized_lag_1month"
"1",1,2010,"April",35.404,-119.114,"Cx. tarsalis",1.25,-0.689363304122719,23.28,12.6435405,0.015297886480915,-0.371143153902899,1.26512527105498,0.132100359129831
"2",1,2010,"May",35.404,-119.114,"Cx. tarsalis",2.91666666666667,-0.39973833639958,26.315,15.36905175,0.122323837840765,-0.0126894575308279,1.54549787245686,0.015297886480915
"3",1,2010,"June",35.404,-119.114,"Cx. tarsalis",2.83333333333333,-0.403866672762775,33.718,6.45668052857143,0.120798281773282,0.861654105646254,0.628684667590725,0.122323837840765
"4",1,2010,"July",35.404,-119.114,"Cx. tarsalis",1.125,-0.488950441000058,37.14,1.40826508928571,0.0893570309983113,1.26581507730531,0.1093555436805,0.120798281773282
"5",1,2010,"August",35.404,-119.114,"Cx. tarsalis",0.700000000000001,-0.531958194233536,34.946,0.468686802857143,0.0734642516504245,1.00668907735792,0.0127013807645691,0.0893570309983113
"6",1,2010,"September",35.404,-119.114,"Cx. tarsalis",2.29166666666667,-0.61285563143397,31.02,0.366401753571429,0.0435699878822997,0.543002351836748,0.00217934554906398,0.0734642516504245
"7",1,2010,"October",35.404,-119.114,"Cx. tarsalis",0.388888888888889,-0.38529595426501,25.965,0.694575557142857,0.127660773050482,-0.0540267866017421,0.0359384955137804,0.0435699878822997
"8",1,2011,"April",35.404,-119.114,"Cx. tarsalis",3.05555555555556,5.2957173233976,22.4475,30.5085335357143,2.22698202808468,-0.469466943764431,3.10289224833299,1.95515842772936
"9",1,2011,"May",35.404,-119.114,"Cx. tarsalis",9.25000000000002,5.63692643466683,23.635,25.3477602857143,2.35307001709103,-0.329215291559543,2.57200490697722,2.22698202808468
"10",1,2011,"June",35.404,-119.114,"Cx. tarsalis",4.23333333333333,5.88406728360001,32.416,12.4368264,2.44439668925225,0.707879241502452,1.24386064777982,2.35307001709103
"11",1,2011,"July",35.404,-119.114,"Cx. tarsalis",1.08333333333334,5.81821724233528,35.1175,4.99350068571428,2.42006293319231,1.02694436860267,0.478167754897499,2.44439668925225
"12",1,2011,"August",35.404,-119.114,"Cx. tarsalis",0.466666666666667,5.21995423783691,36.66,1.88971476857143,2.19898507611664,1.20912388315091,0.158882141314407,2.42006293319231
"13",1,2011,"September",35.404,-119.114,"Cx. tarsalis",1.66666666666666,4.59586945166947,32.275,0.977745557142857,1.96836522143399,0.691226203219598,0.0650681164386513,2.19898507611664
