"","year","month_in_year","pounds_chemical_applied","mos_life_stage_target"
"1",2010,7,2.24,"Larvicide"
"2",2010,2,29.0026,"Larvicide"
"3",2010,3,66.0138,"Larvicide"
"4",2010,12,NA,"Larvicide"
"5",2010,6,2040.9656,"Larvicide"
"6",2010,6,1.0623,"Larvicide"
"7",2010,7,3174.752,"Larvicide"
"8",2010,9,2.2763,"Larvicide"
"9",2010,10,2006.1424,"Larvicide"
"10",2010,8,466.6495,"Larvicide"
"11",2010,8,NA,"Larvicide"
"12",2010,9,2766.0555,"Larvicide"
"13",2010,9,NA,"Larvicide"
"14",2010,4,372.4245,"Larvicide"
"15",2010,5,970.5415,"Larvicide"
"16",2010,10,2006.1376,"Larvicide"
"17",2010,12,14.5686,"Larvicide"
"18",2010,2,28.9854,"Larvicide"
"19",2010,4,371.8021,"Larvicide"
"20",2010,6,2040.9988,"Larvicide"
"21",2010,8,1.0623,"Larvicide"
"22",2010,9,2766.0561,"Larvicide"
"23",2010,12,14.5532,"Larvicide"
"24",2010,1,3.111,"Larvicide"
"25",2010,5,970.5551,"Larvicide"
"26",2010,8,4670.1409,"Larvicide"
"27",2010,11,117.9144,"Larvicide"
"28",2010,11,NA,"Larvicide"
"29",2010,1,3.1122,"Larvicide"
"30",2010,3,66.0375,"Larvicide"
"31",2010,5,0.1518,"Larvicide"
"32",2010,7,0.6829,"Larvicide"
"33",2010,11,117.9221,"Larvicide"
"34",2010,10,NA,"Larvicide"
"35",2010,7,3174.7343,"Larvicide"
"36",2010,7,0.0185,"Larvicide"
"37",2010,9,68.7400782,"Adulticide"
"38",2010,6,22.5805664,"Adulticide"
"39",2010,7,40.1964092,"Adulticide"
"40",2010,9,NA,"Adulticide"
"41",2010,7,40.1947612,"Adulticide"
"42",2010,10,9.5191158,"Adulticide"
"43",2010,8,NA,"Adulticide"
"44",2010,6,22.5832856,"Adulticide"
"45",2010,9,68.7302314,"Adulticide"
"46",2010,8,44.0461784,"Adulticide"
"47",2010,10,9.540993,"Adulticide"
"48",2010,10,NA,"Adulticide"
"49",2010,8,44.0532854,"Adulticide"
"50",2010,10,9.5191158,"Adulticide"
"51",2010,7,40.1964092,"Adulticide"
"52",2010,8,44.0532854,"Adulticide"
"53",2010,10,9.540993,"Adulticide"
"54",2010,9,68.7302314,"Adulticide"
"55",2010,10,NA,"Adulticide"
"56",2010,7,40.1947612,"Adulticide"
"57",2010,8,NA,"Adulticide"
"58",2010,9,68.7400782,"Adulticide"
"59",2010,6,22.5832856,"Adulticide"
"60",2010,8,44.0461784,"Adulticide"
"61",2010,9,NA,"Adulticide"
"62",2010,6,22.5805664,"Adulticide"
"63",2010,4,0.01185,"Larvicide"
"64",2010,8,0.05577,"Larvicide"
"65",2010,4,0.01296,"Larvicide"
"66",2010,5,0.05328,"Larvicide"
"67",2010,9,0.04464,"Larvicide"
"68",2010,6,0.13824,"Larvicide"
"69",2010,8,0.08064,"Larvicide"
"70",2010,5,0.63575,"Adulticide"
"71",2010,10,13.65717,"Adulticide"
"72",2010,6,32.4495,"Adulticide"
"73",2010,7,48.64968,"Adulticide"
"74",2010,5,0.63575,"Adulticide"
"75",2010,9,NA,"Adulticide"
"76",2010,9,43.56654,"Adulticide"
"77",2010,8,54.42638,"Adulticide"
"78",2010,10,13.65717,"Adulticide"
"79",2010,6,32.4495,"Adulticide"
"80",2010,8,54.42638,"Adulticide"
"81",2010,7,48.64968,"Adulticide"
"82",2010,9,43.56654,"Adulticide"
"83",2010,8,NA,"Adulticide"
"84",2010,10,NA,"Adulticide"
"85",2010,8,54.42638,"Adulticide"
"86",2010,10,13.65717,"Adulticide"
"87",2010,9,NA,"Adulticide"
"88",2010,9,43.56654,"Adulticide"
"89",2010,9,43.56654,"Adulticide"
"90",2010,8,54.42638,"Adulticide"
"91",2010,6,32.4495,"Adulticide"
"92",2010,5,0.63575,"Adulticide"
"93",2010,8,NA,"Adulticide"
"94",2010,5,0.63575,"Adulticide"
"95",2010,10,13.65717,"Adulticide"
"96",2010,7,48.64968,"Adulticide"
"97",2010,7,48.64968,"Adulticide"
"98",2010,6,32.4495,"Adulticide"
"99",2010,10,NA,"Adulticide"
"100",2010,8,0.023768,"Adulticide"
"101",2010,10,0.055708,"Adulticide"
"102",2010,6,4.59636,"Adulticide"
"103",2010,9,0.014856,"Adulticide"
"104",2010,10,0.055708,"Adulticide"
"105",2010,7,0.089136,"Adulticide"
"106",2010,6,4.595768,"Adulticide"
"107",2010,7,0.008912,"Adulticide"
"108",2010,8,0.023768,"Adulticide"
"109",2010,9,0.014856,"Adulticide"
"110",2010,8,0.071304,"Adulticide"
"111",2010,6,13.78908,"Adulticide"
"112",2010,10,0.167124,"Adulticide"
"113",2010,9,0.044568,"Adulticide"
"114",2010,8,0.071304,"Adulticide"
"115",2010,7,0.267408,"Adulticide"
"116",2010,9,0.044568,"Adulticide"
"117",2010,10,0.167124,"Adulticide"
"118",2010,7,0.026736,"Adulticide"
"119",2010,6,13.787304,"Adulticide"
"120",2010,5,15353.324415,"Larvicide"
"121",2010,6,15434.223773,"Larvicide"
"122",2010,10,12853.50686,"Larvicide"
"123",2010,11,1875.006508,"Larvicide"
"124",2010,12,60.106535,"Larvicide"
"125",2010,5,869.444562,"Larvicide"
"126",2010,4,2482.061705,"Larvicide"
"127",2010,6,2271.241323,"Larvicide"
"128",2010,7,746.339728,"Larvicide"
"129",2010,6,15434.191472,"Larvicide"
"130",2010,10,12853.499294,"Larvicide"
"131",2010,10,692.154364,"Larvicide"
"132",2010,7,20822.810647,"Larvicide"
"133",2010,2,10.085575,"Larvicide"
"134",2010,4,90.641747,"Larvicide"
"135",2010,10,692.154364,"Larvicide"
"136",2010,12,60.082867,"Larvicide"
"137",2010,1,10.947226,"Larvicide"
"138",2010,12,NA,"Larvicide"
"139",2010,3,122.691614,"Larvicide"
"140",2010,4,90.676182,"Larvicide"
"141",2010,6,2477.792929,"Larvicide"
"142",2010,5,869.444562,"Larvicide"
"143",2010,7,20822.821414,"Larvicide"
"144",2010,8,1008.040684,"Larvicide"
"145",2010,9,22708.970991,"Larvicide"
"146",2010,7,746.339728,"Larvicide"
"147",2010,8,14814.415695,"Larvicide"
"148",2010,8,1008.040684,"Larvicide"
"149",2010,1,10.946159,"Larvicide"
"150",2010,3,13.77012,"Larvicide"
"151",2010,9,NA,"Larvicide"
"152",2010,9,22709.083996,"Larvicide"
"153",2010,9,2023.241714,"Larvicide"
"154",2010,11,1874.993607,"Larvicide"
"155",2010,9,2023.241714,"Larvicide"
"156",2010,11,1138.236994,"Larvicide"
"157",2010,11,NA,"Larvicide"
"158",2010,3,13.77012,"Larvicide"
"159",2010,3,122.693845,"Larvicide"
"160",2010,5,15353.292114,"Larvicide"
"161",2010,11,1138.236994,"Larvicide"
"162",2010,8,NA,"Larvicide"
"163",2010,10,NA,"Larvicide"
"164",2010,8,14814.431312,"Larvicide"
"165",2010,2,10.12098,"Larvicide"
"166",2010,4,2482.061705,"Larvicide"
"167",2010,5,0.089805,"Adulticide"
"168",2010,6,0.198015,"Adulticide"
"169",2010,10,0.2915,"Adulticide"
"170",2010,9,0.81267,"Adulticide"
"171",2010,10,0.2915,"Adulticide"
"172",2010,8,0.054475,"Adulticide"
"173",2010,7,0.002945,"Adulticide"
"174",2010,12,0.06036,"Adulticide"
"175",2010,3,0.023555,"Adulticide"
"176",2010,6,0.198015,"Adulticide"
"177",2010,12,NA,"Adulticide"
"178",2010,12,0.06036,"Adulticide"
"179",2010,11,0.03828,"Adulticide"
"180",2010,5,0.089805,"Adulticide"
"181",2010,8,0.054475,"Adulticide"
"182",2010,4,0.016195,"Adulticide"
"183",2010,3,0.023555,"Adulticide"
"184",2010,7,0.002945,"Adulticide"
"185",2010,11,NA,"Adulticide"
"186",2010,4,0.016195,"Adulticide"
"187",2010,9,0.81267,"Adulticide"
"188",2010,8,NA,"Adulticide"
"189",2010,10,NA,"Adulticide"
"190",2010,11,0.03828,"Adulticide"
"191",2010,9,NA,"Adulticide"
"192",2010,5,0.089805,"Adulticide"
"193",2010,7,0.002945,"Adulticide"
"194",2010,7,0.002945,"Adulticide"
"195",2010,6,0.198015,"Adulticide"
"196",2010,3,0.023555,"Adulticide"
"197",2010,8,0.054475,"Adulticide"
"198",2010,9,0.81267,"Adulticide"
"199",2010,12,NA,"Adulticide"
"200",2010,6,0.198015,"Adulticide"
"201",2010,11,0.03828,"Adulticide"
"202",2010,8,0.054475,"Adulticide"
"203",2010,8,NA,"Adulticide"
"204",2010,9,0.81267,"Adulticide"
"205",2010,5,0.089805,"Adulticide"
"206",2010,4,0.016195,"Adulticide"
"207",2010,3,0.023555,"Adulticide"
"208",2010,11,NA,"Adulticide"
"209",2010,12,0.06036,"Adulticide"
"210",2010,12,0.06036,"Adulticide"
"211",2010,11,0.03828,"Adulticide"
"212",2010,4,0.016195,"Adulticide"
"213",2010,10,0.2915,"Adulticide"
"214",2010,9,NA,"Adulticide"
"215",2010,10,NA,"Adulticide"
"216",2010,10,0.2915,"Adulticide"
"217",2010,12,NA,"Adulticide"
"218",2010,8,0.010895,"Adulticide"
"219",2010,5,0.017961,"Adulticide"
"220",2010,9,NA,"Adulticide"
"221",2010,4,0.003239,"Adulticide"
"222",2010,7,0.000589,"Adulticide"
"223",2010,7,0.000589,"Adulticide"
"224",2010,9,0.162534,"Adulticide"
"225",2010,12,0.012072,"Adulticide"
"226",2010,4,0.003239,"Adulticide"
"227",2010,10,0.0583,"Adulticide"
"228",2010,11,0.007656,"Adulticide"
"229",2010,12,0.012072,"Adulticide"
"230",2010,10,0.0583,"Adulticide"
"231",2010,3,0.004711,"Adulticide"
"232",2010,6,0.039603,"Adulticide"
"233",2010,9,0.162534,"Adulticide"
"234",2010,10,NA,"Adulticide"
"235",2010,11,0.007656,"Adulticide"
"236",2010,8,0.010895,"Adulticide"
"237",2010,8,NA,"Adulticide"
"238",2010,3,0.004711,"Adulticide"
"239",2010,5,0.017961,"Adulticide"
"240",2010,6,0.039603,"Adulticide"
"241",2010,11,NA,"Adulticide"
"242",2010,11,9.9059268,"Larvicide"
"243",2010,9,0.8781339,"Larvicide"
"244",2010,6,98.84805,"Larvicide"
"245",2010,8,0.425397,"Larvicide"
"246",2010,10,0.1097544,"Larvicide"
"247",2010,10,117.184536,"Larvicide"
"248",2010,9,1.7563665,"Larvicide"
"249",2010,9,186.315003,"Larvicide"
"250",2010,7,10.538199,"Larvicide"
"251",2010,5,28.3125885,"Larvicide"
"252",2010,7,158.0726889,"Larvicide"
"253",2010,8,22.98723,"Larvicide"
"254",2010,8,0.425397,"Larvicide"
"255",2010,10,0.1097544,"Larvicide"
"256",2010,3,4.2493311,"Larvicide"
"257",2010,4,136.9297671,"Larvicide"
"258",2010,7,171.2903955,"Larvicide"
"259",2010,5,124.6054929,"Larvicide"
"260",2010,8,344.9115915,"Larvicide"
"261",2010,5,124.5482469,"Larvicide"
"262",2010,2,7.3264023,"Larvicide"
"263",2010,4,136.9115076,"Larvicide"
"264",2010,7,171.3110238,"Larvicide"
"265",2010,9,93.0448848,"Larvicide"
"266",2010,2,7.3264023,"Larvicide"
"267",2010,3,4.2355131,"Larvicide"
"268",2010,9,93.0105372,"Larvicide"
"269",2010,11,676.315101,"Larvicide"
"270",2010,10,373.644642,"Larvicide"
"271",2010,10,NA,"Larvicide"
"272",2010,11,676.2968415,"Larvicide"
"273",2010,11,NA,"Larvicide"
"274",2010,6,326.6826885,"Larvicide"
"275",2010,6,326.7101271,"Larvicide"
"276",2010,10,373.644642,"Larvicide"
"277",2010,8,344.9253108,"Larvicide"
"278",2010,8,NA,"Larvicide"
"279",2010,9,NA,"Larvicide"
"280",2010,10,0.01724,"Adulticide"
"281",2010,8,2.53112,"Adulticide"
"282",2010,7,0.62082,"Adulticide"
"283",2010,10,0.01724,"Adulticide"
"284",2010,8,0.16096,"Adulticide"
"285",2010,7,0.62082,"Adulticide"
"286",2010,9,0.13946,"Adulticide"
"287",2010,8,0.16096,"Adulticide"
"288",2010,9,0.13946,"Adulticide"
"289",2010,8,NA,"Adulticide"
